from__cat,from__name,to__cat_dry,to__name_dry,distance_km_dry,time_m_dry,to__cat_flood,to__name_flood,distance_km_flood,time_m_flood,changed_destination,extra_minutes,rerouted
52,Sastho Poribar Kollan Kendro,25,Tahirpur Upazila Health Complex,8,22,25,Tahirpur Upazila Health Complex,8,22,False,0,False
53,Sreepur Health Complex,25,Tahirpur Upazila Health Complex,12,45,25,Tahirpur Upazila Health Complex,12,45,False,0,False
56,Community Clinic Puran Varanga,25,Tahirpur Upazila Health Complex,9,27,25,Tahirpur Upazila Health Complex,9,27,False,0,False
57,Kamarkandi Community Clinic,25,Tahirpur Upazila Health Complex,10,35,25,Tahirpur Upazila Health Complex,10,35,False,0,False
58,Uzangao community clinic,43,Mithamoin Upazila Health Complex,13,118,43,Mithamoin Upazila Health Complex,13,118,False,0,False
59,Mamudnagar Community clinic,43,Mithamoin Upazila Health Complex,11,75,43,Mithamoin Upazila Health Complex,11,75,False,0,False
60,Loularchar Commuinity Clinic,54,Vojendroganj up health and family welfare centre,4,14,54,Vojendroganj up health and family welfare centre,4,14,False,0,False
61,Shamarchar commuinity Clinic,54,Vojendroganj up health and family welfare centre,2,6,54,Vojendroganj up health and family welfare centre,2,6,False,0,False
62,Kartikpur Commuinity Clinic,54,Vojendroganj up health and family welfare centre,4,13,54,Vojendroganj up health and family welfare centre,4,13,False,0,False
63,Uzanyarabad community clinic,55,Union health and family welfare center,6,22,55,Union health and family welfare center,6,22,False,0,False
64,Kashipur Community Clinic,54,Vojendroganj up health and family welfare centre,4,16,54,Vojendroganj up health and family welfare centre,4,16,False,0,False
65,Atgao community clinic,55,Union health and family welfare center,4,14,55,Union health and family welfare center,4,14,False,0,False
66,Srihile community clinic,30,Ajmiriganj Upazila Health Complex,6,26,30,Ajmiriganj Upazila Health Complex,6,27,False,1,False
67,Adittopur community clinic,47,OSM 6574122409 (bangla name),13,39,47,OSM 6574122409 (bangla name),13,39,False,0,False
68,Achanpur community clinic,54,Vojendroganj up health and family welfare centre,16,59,54,Vojendroganj up health and family welfare centre,16,59,False,0,False
71,talukder clinic,23,Durgapur Upazila Health Complex,1,1,23,Durgapur Upazila Health Complex,1,1,False,0,False
75,SUST Medical Center,78,Mount Adora Hospital,3,7,78,Mount Adora Hospital,3,7,False,0,False
77,Dowbari Clinic,16,Gowainghat Upazila Health Complex,7,26,16,Gowainghat Upazila Health Complex,7,28,False,2,False
81,Tori Madokasokto Niramoy Kendro,12,Netrokona Sadar Hospital,1,1,12,Netrokona Sadar Hospital,1,1,False,0,False
82,D.M Digilab,76,Mission Hospital Netrokona,2,2,76,Mission Hospital Netrokona,2,2,False,0,False
83,Nurjahan Digilab,76,Mission Hospital Netrokona,2,2,76,Mission Hospital Netrokona,2,2,False,0,False
84,Maa O Shishu Clinic,12,Netrokona Sadar Hospital,2,3,12,Netrokona Sadar Hospital,2,3,False,0,False
84,Maa O Shishu Clinic,12,Netrokona Sadar Hospital,2,3,76,Mission Hospital Netrokona,2,3,True,0,False
84,Maa O Shishu Clinic,76,Mission Hospital Netrokona,2,3,12,Netrokona Sadar Hospital,2,3,True,0,False
84,Maa O Shishu Clinic,76,Mission Hospital Netrokona,2,3,76,Mission Hospital Netrokona,2,3,False,0,False
90,Matri Mangal Hospital,11,Moulvibaza Sadar Hospital,2,3,11,Moulvibaza Sadar Hospital,2,3,False,0,False
90,Matri Mangal Hospital,11,Moulvibaza Sadar Hospital,2,3,93,Life Care Pvt Hospital,2,3,True,0,False
90,Matri Mangal Hospital,11,Moulvibaza Sadar Hospital,2,3,94,Life Line Hospital,1,3,True,0,False
90,Matri Mangal Hospital,93,Life Care Pvt Hospital,2,3,11,Moulvibaza Sadar Hospital,2,3,True,0,False
90,Matri Mangal Hospital,93,Life Care Pvt Hospital,2,3,93,Life Care Pvt Hospital,2,3,False,0,False
90,Matri Mangal Hospital,93,Life Care Pvt Hospital,2,3,94,Life Line Hospital,1,3,True,0,False
90,Matri Mangal Hospital,94,Life Line Hospital,1,3,11,Moulvibaza Sadar Hospital,2,3,True,0,False
90,Matri Mangal Hospital,94,Life Line Hospital,1,3,93,Life Care Pvt Hospital,2,3,True,0,False
90,Matri Mangal Hospital,94,Life Line Hospital,1,3,94,Life Line Hospital,1,3,False,0,False
97,Surjer Hasi Clinic,95,Madan Hospital,1,1,95,Madan Hospital,1,1,False,0,False
98,Morder Diogonistik Centre,37,Madan Upazilla Health Complex,1,1,37,Madan Upazilla Health Complex,1,1,False,0,False
104,Aysha Medicare,73,OSM 537079689 (bangla name),1,1,73,OSM 537079689 (bangla name),1,1,False,0,False
109,Digilap Diagonestics Center,120,OSM 13844211901 (bangla name),1,1,120,OSM 13844211901 (bangla name),1,1,False,0,False
109,Digilap Diagonestics Center,120,OSM 13844211901 (bangla name),1,1,121,OSM 13844354801 (bangla name),1,1,True,0,False
109,Digilap Diagonestics Center,121,OSM 13844354801 (bangla name),1,1,120,OSM 13844211901 (bangla name),1,1,True,0,False
109,Digilap Diagonestics Center,121,OSM 13844354801 (bangla name),1,1,121,OSM 13844354801 (bangla name),1,1,False,0,False
110,Medilab Health Center,121,OSM 13844354801 (bangla name),1,1,121,OSM 13844354801 (bangla name),1,1,False,0,False
111,Hossen Diagonestics Center,118,OSM 13844043201 (bangla name),1,2,118,OSM 13844043201 (bangla name),1,2,False,0,False
111,Hossen Diagonestics Center,118,OSM 13844043201 (bangla name),1,2,119,OSM 13844048101 (bangla name),1,2,True,0,False
111,Hossen Diagonestics Center,118,OSM 13844043201 (bangla name),1,2,120,OSM 13844211901 (bangla name),1,2,True,0,False
111,Hossen Diagonestics Center,118,OSM 13844043201 (bangla name),1,2,121,OSM 13844354801 (bangla name),1,2,True,0,False
111,Hossen Diagonestics Center,118,OSM 13844043201 (bangla name),1,2,123,OSM 13845729801 (bangla name),1,2,True,0,False
111,Hossen Diagonestics Center,119,OSM 13844048101 (bangla name),1,2,118,OSM 13844043201 (bangla name),1,2,True,0,False
111,Hossen Diagonestics Center,119,OSM 13844048101 (bangla name),1,2,119,OSM 13844048101 (bangla name),1,2,False,0,False
111,Hossen Diagonestics Center,119,OSM 13844048101 (bangla name),1,2,120,OSM 13844211901 (bangla name),1,2,True,0,False
111,Hossen Diagonestics Center,119,OSM 13844048101 (bangla name),1,2,121,OSM 13844354801 (bangla name),1,2,True,0,False
111,Hossen Diagonestics Center,119,OSM 13844048101 (bangla name),1,2,123,OSM 13845729801 (bangla name),1,2,True,0,False
111,Hossen Diagonestics Center,120,OSM 13844211901 (bangla name),1,2,118,OSM 13844043201 (bangla name),1,2,True,0,False
111,Hossen Diagonestics Center,120,OSM 13844211901 (bangla name),1,2,119,OSM 13844048101 (bangla name),1,2,True,0,False
111,Hossen Diagonestics Center,120,OSM 13844211901 (bangla name),1,2,120,OSM 13844211901 (bangla name),1,2,False,0,False
111,Hossen Diagonestics Center,120,OSM 13844211901 (bangla name),1,2,121,OSM 13844354801 (bangla name),1,2,True,0,False
111,Hossen Diagonestics Center,120,OSM 13844211901 (bangla name),1,2,123,OSM 13845729801 (bangla name),1,2,True,0,False
111,Hossen Diagonestics Center,121,OSM 13844354801 (bangla name),1,2,118,OSM 13844043201 (bangla name),1,2,True,0,False
111,Hossen Diagonestics Center,121,OSM 13844354801 (bangla name),1,2,119,OSM 13844048101 (bangla name),1,2,True,0,False
111,Hossen Diagonestics Center,121,OSM 13844354801 (bangla name),1,2,120,OSM 13844211901 (bangla name),1,2,True,0,False
111,Hossen Diagonestics Center,121,OSM 13844354801 (bangla name),1,2,121,OSM 13844354801 (bangla name),1,2,False,0,False
111,Hossen Diagonestics Center,121,OSM 13844354801 (bangla name),1,2,123,OSM 13845729801 (bangla name),1,2,True,0,False
111,Hossen Diagonestics Center,123,OSM 13845729801 (bangla name),1,2,118,OSM 13844043201 (bangla name),1,2,True,0,False
111,Hossen Diagonestics Center,123,OSM 13845729801 (bangla name),1,2,119,OSM 13844048101 (bangla name),1,2,True,0,False
111,Hossen Diagonestics Center,123,OSM 13845729801 (bangla name),1,2,120,OSM 13844211901 (bangla name),1,2,True,0,False
111,Hossen Diagonestics Center,123,OSM 13845729801 (bangla name),1,2,121,OSM 13844354801 (bangla name),1,2,True,0,False
111,Hossen Diagonestics Center,123,OSM 13845729801 (bangla name),1,2,123,OSM 13845729801 (bangla name),1,2,False,0,False
112,Medinova Health Care,118,OSM 13844043201 (bangla name),1,1,118,OSM 13844043201 (bangla name),1,1,False,0,False
112,Medinova Health Care,118,OSM 13844043201 (bangla name),1,1,119,OSM 13844048101 (bangla name),1,1,True,0,False
112,Medinova Health Care,118,OSM 13844043201 (bangla name),1,1,120,OSM 13844211901 (bangla name),1,1,True,0,False
112,Medinova Health Care,118,OSM 13844043201 (bangla name),1,1,123,OSM 13845729801 (bangla name),1,1,True,0,False
112,Medinova Health Care,119,OSM 13844048101 (bangla name),1,1,118,OSM 13844043201 (bangla name),1,1,True,0,False
112,Medinova Health Care,119,OSM 13844048101 (bangla name),1,1,119,OSM 13844048101 (bangla name),1,1,False,0,False
112,Medinova Health Care,119,OSM 13844048101 (bangla name),1,1,120,OSM 13844211901 (bangla name),1,1,True,0,False
112,Medinova Health Care,119,OSM 13844048101 (bangla name),1,1,123,OSM 13845729801 (bangla name),1,1,True,0,False
112,Medinova Health Care,120,OSM 13844211901 (bangla name),1,1,118,OSM 13844043201 (bangla name),1,1,True,0,False
112,Medinova Health Care,120,OSM 13844211901 (bangla name),1,1,119,OSM 13844048101 (bangla name),1,1,True,0,False
112,Medinova Health Care,120,OSM 13844211901 (bangla name),1,1,120,OSM 13844211901 (bangla name),1,1,False,0,False
112,Medinova Health Care,120,OSM 13844211901 (bangla name),1,1,123,OSM 13845729801 (bangla name),1,1,True,0,False
112,Medinova Health Care,123,OSM 13845729801 (bangla name),1,1,118,OSM 13844043201 (bangla name),1,1,True,0,False
112,Medinova Health Care,123,OSM 13845729801 (bangla name),1,1,119,OSM 13844048101 (bangla name),1,1,True,0,False
112,Medinova Health Care,123,OSM 13845729801 (bangla name),1,1,120,OSM 13844211901 (bangla name),1,1,True,0,False
112,Medinova Health Care,123,OSM 13845729801 (bangla name),1,1,123,OSM 13845729801 (bangla name),1,1,False,0,False
113,The Medipath Health Care,8,OSM 8311261 (bangla name),1,0,8,OSM 8311261 (bangla name),1,0,False,0,False
122,OSM 13845120302 (bangla name),120,OSM 13844211901 (bangla name),1,1,120,OSM 13844211901 (bangla name),1,1,False,0,False
122,OSM 13845120302 (bangla name),120,OSM 13844211901 (bangla name),1,1,121,OSM 13844354801 (bangla name),1,1,True,0,False
122,OSM 13845120302 (bangla name),121,OSM 13844354801 (bangla name),1,1,120,OSM 13844211901 (bangla name),1,1,True,0,False
122,OSM 13845120302 (bangla name),121,OSM 13844354801 (bangla name),1,1,121,OSM 13844354801 (bangla name),1,1,False,0,False
124,OSM 13849517401 (bangla name),121,OSM 13844354801 (bangla name),1,1,121,OSM 13844354801 (bangla name),1,1,False,0,False
125,OSM 13854242601 (bangla name),121,OSM 13844354801 (bangla name),2,3,121,OSM 13844354801 (bangla name),2,3,False,0,False
126,OSM 13854283001 (bangla name),118,OSM 13844043201 (bangla name),2,4,118,OSM 13844043201 (bangla name),2,4,False,0,False
126,OSM 13854283001 (bangla name),118,OSM 13844043201 (bangla name),2,4,119,OSM 13844048101 (bangla name),2,4,True,0,False
126,OSM 13854283001 (bangla name),118,OSM 13844043201 (bangla name),2,4,120,OSM 13844211901 (bangla name),2,4,True,0,False
126,OSM 13854283001 (bangla name),118,OSM 13844043201 (bangla name),2,4,121,OSM 13844354801 (bangla name),2,4,True,0,False
126,OSM 13854283001 (bangla name),118,OSM 13844043201 (bangla name),2,4,123,OSM 13845729801 (bangla name),3,4,True,0,False
126,OSM 13854283001 (bangla name),119,OSM 13844048101 (bangla name),2,4,118,OSM 13844043201 (bangla name),2,4,True,0,False
126,OSM 13854283001 (bangla name),119,OSM 13844048101 (bangla name),2,4,119,OSM 13844048101 (bangla name),2,4,False,0,False
126,OSM 13854283001 (bangla name),119,OSM 13844048101 (bangla name),2,4,120,OSM 13844211901 (bangla name),2,4,True,0,False
126,OSM 13854283001 (bangla name),119,OSM 13844048101 (bangla name),2,4,121,OSM 13844354801 (bangla name),2,4,True,0,False
126,OSM 13854283001 (bangla name),119,OSM 13844048101 (bangla name),2,4,123,OSM 13845729801 (bangla name),3,4,True,0,False
126,OSM 13854283001 (bangla name),120,OSM 13844211901 (bangla name),2,4,118,OSM 13844043201 (bangla name),2,4,True,0,False
126,OSM 13854283001 (bangla name),120,OSM 13844211901 (bangla name),2,4,119,OSM 13844048101 (bangla name),2,4,True,0,False
126,OSM 13854283001 (bangla name),120,OSM 13844211901 (bangla name),2,4,120,OSM 13844211901 (bangla name),2,4,False,0,False
126,OSM 13854283001 (bangla name),120,OSM 13844211901 (bangla name),2,4,121,OSM 13844354801 (bangla name),2,4,True,0,False
126,OSM 13854283001 (bangla name),120,OSM 13844211901 (bangla name),2,4,123,OSM 13845729801 (bangla name),3,4,True,0,False
126,OSM 13854283001 (bangla name),121,OSM 13844354801 (bangla name),2,4,118,OSM 13844043201 (bangla name),2,4,True,0,False
126,OSM 13854283001 (bangla name),121,OSM 13844354801 (bangla name),2,4,119,OSM 13844048101 (bangla name),2,4,True,0,False
