adm3_pcode,adm3_name,district,population_in_grid,mean_minutes_dry,mean_minutes_flood0708,pushed_beyond_60_flood0708,mean_minutes_flood0713,pushed_beyond_60_flood0713
BD20120090,Nasirnagar,Brahmanbaria,374683,40.8,46.9,22715,44.3,18322
BD60360005,Bahubal,Habiganj,233341,60.2,64.9,20063,60.4,0
BD60580074,Moulvibazar Sadar,Moulvibazar,437168,30.2,36.6,16663,30.2,0
BD60580083,Sreemangal,Moulvibazar,414771,52.5,64.2,15471,52.5,0
BD60360026,Chunarughat,Habiganj,355578,60.5,67.0,12703,60.5,0
BD60580056,Kamalganj,Moulvibazar,246013,76.5,81.4,11679,76.5,0
BD60360068,Lakhai,Habiganj,172985,51.1,60.6,10773,58.1,7441
BD60580065,Kulaura,Moulvibazar,224218,51.7,55.5,7713,51.7,0
BD60360011,Baniachong,Habiganj,383817,50.0,56.8,6774,53.7,2565
BD60360077,Nabiganj,Habiganj,393152,36.1,40.4,5327,36.3,351
BD30480002,Austagram,Kishoreganj,155862,89.9,98.1,5237,102.9,48233
BD60360002,Ajmiriganj,Habiganj,146904,41.8,50.2,3859,46.4,1599
BD60900029,Derai,Sunamganj,280187,43.4,44.1,3522,44.6,2390
BD60910041,Gowainghat,Sylhet,147482,34.6,38.1,3118,34.6,0
BD60580080,Rajnagar,Moulvibazar,288115,38.6,41.9,2959,38.6,0
BD60360071,Madhabpur,Habiganj,372192,26.8,33.3,2812,27.3,0
BD60910027,Companiganj,Sylhet,225303,30.1,33.2,1786,30.1,0
BD60900047,Jagannathpur,Sunamganj,286502,35.2,36.1,1594,35.2,0
BD60910060,Osmaninagar,Sylhet,281208,37.2,39.0,1242,37.2,0
BD60900063,Madhyanagar,Sunamganj,69664,54.5,56.1,1124,56.3,2014
BD30480059,Mithamain,Kishoreganj,128769,56.4,58.3,1083,56.9,323
BD60900050,Jamalganj,Sunamganj,183411,49.8,50.1,972,51.7,3751
BD45720038,Khaliajuri,Netrakona,115959,39.8,41.5,907,42.6,1097
BD45720063,Mohanganj,Netrakona,219398,36.9,38.6,881,41.4,6993
BD60360044,Habiganj Sadar,Habiganj,227517,28.3,29.2,812,28.6,36
BD60900089,Sunamganj Sadar,Sunamganj,398692,34.4,35.5,267,35.7,0
BD30480033,Itna,Kishoreganj,166906,100.7,102.2,176,102.0,40
BD45720056,Madan,Netrakona,177104,30.7,31.6,139,32.0,172
BD60900086,Shalla,Sunamganj,123499,22.0,22.3,44,22.3,63
BD60910031,Dakkhin Surma,Sylhet,330182,21.5,23.2,0,21.5,0
BD60910035,Fenchuganj,Sylhet,175093,16.0,17.4,0,16.0,0
BD60910020,Bishwanath,Sylhet,266993,24.0,24.7,0,24.0,0
BD60900033,Dowarabazar,Sunamganj,216577,33.4,34.2,0,33.4,0
BD60900023,Chhatak,Sunamganj,472631,30.0,30.9,0,30.0,0
BD60900087,Shantiganj,Sunamganj,219876,28.4,28.6,0,28.6,0
BD60910038,Golapganj,Sylhet,105913,32.3,34.6,0,32.3,0
BD60360087,Shayestaganj,Habiganj,157498,16.0,16.2,0,16.1,0
BD60900092,Tahirpur,Sunamganj,212497,32.1,32.8,0,33.6,1992
BD60910053,Jaintapur,Sylhet,1936,39.0,39.0,0,39.0,0
BD60910008,Balaganj,Sylhet,110853,32.7,33.8,0,32.7,0
BD60910062,Sylhet Sadar,Sylhet,672914,24.8,25.6,0,24.8,0
BD60900032,Dharmapasha,Sunamganj,172153,40.2,40.3,0,40.8,36
BD60900018,Bishwambharpur,Sunamganj,185843,24.3,24.7,0,26.4,24
BD20120033,Ashuganj,Brahmanbaria,2482,39.7,39.7,0,39.7,0
BD20120007,Bijoynagar,Brahmanbaria,45195,13.2,13.4,0,13.3,0
BD45720083,Purbadhala,Netrakona,147624,35.1,35.1,0,35.1,0
BD20120094,Sarail,Brahmanbaria,301217,40.7,42.1,0,41.6,0
BD30330036,Kapasia,Gazipur,206491,20.2,20.2,0,20.2,0
BD30480006,Bajitpur,Kishoreganj,287712,43.4,43.5,0,46.5,4213
BD30480011,Bhairab,Kishoreganj,257679,38.9,38.9,0,38.9,0
BD30480027,Hossainpur,Kishoreganj,180392,24.8,24.8,0,24.8,0
BD30480042,Karimganj,Kishoreganj,324564,42.5,43.2,0,42.5,0
BD30480045,Katiadi,Kishoreganj,337105,24.6,24.6,0,24.6,0
BD30480049,Kishoreganj Sadar,Kishoreganj,469034,19.4,19.4,0,19.4,0
BD30480054,Kuliarchar,Kishoreganj,222890,18.3,18.3,0,18.3,0
BD30480076,Nikli,Kishoreganj,143572,49.5,50.1,0,50.8,0
BD30480079,Pakundia,Kishoreganj,284983,20.7,20.7,0,20.7,0
BD30480092,Tarail,Kishoreganj,165979,30.0,30.0,0,30.0,0
BD30680007,Belabo,Narsingdi,210292,18.8,18.8,0,18.8,0
BD30680052,Manohardi,Narsingdi,317609,16.9,16.9,0,16.9,0
