adm3_pcode,adm3_name,district,population_in_grid,pct_within_target_childbirth_complication_dry,pct_within_target_childbirth_complication_flood0708,pct_within_target_snakebite_dry,pct_within_target_snakebite_flood0708,pct_within_target_snakebite_hospital_only_dry,pct_within_target_snakebite_hospital_only_flood0708,pct_within_target_injury_drowning_dry,pct_within_target_injury_drowning_flood0708,pct_within_target_minor_illness_dry,pct_within_target_minor_illness_flood0708
BD30480002,Austagram,Kishoreganj,13440,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD30480092,Tarail,Kishoreganj,1721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD30480042,Karimganj,Kishoreganj,5566,13.5,13.5,13.5,13.5,0.0,0.0,13.5,13.5,0.0,0.0
BD30480033,Itna,Kishoreganj,152580,48.2,47.5,48.2,47.5,0.0,0.0,48.2,47.5,25.3,25.1
BD30480076,Nikli,Kishoreganj,1537,69.6,61.6,69.6,61.6,0.0,0.0,69.6,61.6,0.0,0.0
BD30480059,Mithamain,Kishoreganj,105631,75.0,72.0,75.0,72.0,0.0,0.0,75.0,72.0,55.0,54.3
BD45720038,Khaliajuri,Netrakona,115913,85.4,85.4,85.4,85.4,0.0,0.0,85.4,85.4,69.5,69.3
BD45720056,Madan,Netrakona,72144,88.7,73.7,88.7,73.7,0.0,0.0,88.7,73.7,10.0,1.9
BD60910062,Sylhet Sadar,Sylhet,41847,93.1,93.1,93.1,93.1,93.1,93.1,93.1,93.1,91.3,91.2
BD60360011,Baniachong,Habiganj,313044,93.5,92.1,93.5,92.1,0.0,0.0,93.5,92.1,86.9,85.4
BD60900050,Jamalganj,Sunamganj,183463,94.0,94.0,94.0,94.0,87.9,87.9,94.0,94.0,91.1,90.6
BD60900029,Derai,Sunamganj,280247,94.7,94.7,94.7,94.7,85.6,82.5,94.7,94.7,90.8,89.6
BD60900092,Tahirpur,Sunamganj,224028,94.8,94.8,94.8,94.8,86.1,86.1,94.8,94.8,94.7,94.7
BD60910027,Companiganj,Sylhet,61862,94.8,94.8,94.8,94.8,94.8,67.0,94.8,94.8,41.9,37.9
BD60900063,Madhyanagar,Sunamganj,65473,94.8,94.8,94.8,94.8,0.0,0.0,94.8,94.8,53.6,53.5
BD60900086,Shalla,Sunamganj,123616,95.1,95.1,95.1,95.1,34.7,27.1,95.1,95.1,95.1,95.1
BD45720004,Atpara,Netrakona,10838,96.1,96.1,96.1,96.1,0.0,0.0,96.1,96.1,93.1,93.1
BD60360002,Ajmiriganj,Habiganj,146944,96.3,96.0,96.3,96.0,0.0,0.0,96.3,96.0,86.2,83.3
BD60910008,Balaganj,Sylhet,2993,96.3,96.3,96.3,96.3,0.0,0.0,96.3,96.3,96.3,96.3
BD60360044,Habiganj Sadar,Habiganj,3313,97.0,97.0,97.0,97.0,0.0,0.0,97.0,97.0,97.0,97.0
BD60900023,Chhatak,Sunamganj,472530,97.0,97.0,97.0,97.0,96.9,96.7,97.0,97.0,96.0,95.5
BD60900087,Shantiganj,Sunamganj,219714,97.1,97.1,97.1,97.1,97.1,97.1,97.1,97.1,97.1,97.1
BD45720063,Mohanganj,Netrakona,205415,97.3,97.3,97.3,97.3,3.4,3.1,97.3,97.3,95.9,95.3
BD60900032,Dharmapasha,Sunamganj,171528,97.4,97.4,97.4,97.4,20.4,20.4,97.4,97.4,97.4,97.4
BD60900089,Sunamganj Sadar,Sunamganj,398803,97.6,97.6,97.6,97.6,97.6,97.6,97.6,97.6,92.6,92.6
BD60900018,Bishwambharpur,Sunamganj,185764,97.6,97.6,97.6,97.6,97.6,97.6,97.6,97.6,97.6,97.6
BD60910060,Osmaninagar,Sylhet,186861,98.2,98.2,98.2,98.2,22.1,0.0,98.2,98.2,98.0,97.1
BD60900047,Jagannathpur,Sunamganj,286486,98.7,98.7,98.7,98.7,92.0,85.3,98.7,98.7,96.4,95.8
BD60910020,Bishwanath,Sylhet,176510,98.9,98.9,98.9,98.9,82.0,53.7,98.9,98.9,98.9,98.8
BD60900033,Dowarabazar,Sunamganj,216642,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,96.6
BD60360077,Nabiganj,Habiganj,393582,99.4,99.4,99.4,99.4,35.0,17.8,99.4,99.4,96.1,94.8
BD60580074,Moulvibazar Sadar,Moulvibazar,215426,99.5,93.2,99.5,93.2,13.8,0.0,99.5,93.2,78.1,62.2
BD60580083,Sreemangal,Moulvibazar,5200,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,64.4,0.0
BD60360005,Bahubal,Habiganj,7924,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0
BD45720040,Kalmakanda,Netrakona,3992,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0
BD45720009,Barhatta,Netrakona,11816,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0
