id,emergency,facility_cat,facility_name,accessmod_minutes,osrm_minutes,osrm_distance_km,overlap_share,note
1,childbirth_complication,48,Belabo Upazila Health Complex,37,21.3,18.2,0.91,
2,snakebite,21,Pakundia Upazilla Health Complex,54,23.6,20.2,0.06,
3,injury_drowning,27,Jagannathpur Upazila Health Complex,59,43.7,19.9,0.86,
4,minor_illness,90,Matri Mangal Hospital,30,17.6,13.5,0.99,
5,childbirth_complication,7,OSM 13846497403 (bangla name),14,7.2,5.0,1.0,
6,snakebite,35,Sreemangal Upazila Health Complex,60,31.2,15.9,0.95,
7,injury_drowning,18,Katiyadi Upazilla Health Complex,24,14.4,9.6,1.0,
8,minor_illness,19,Nandail Upazilla Health Complex,30,19.7,10.1,1.0,
9,childbirth_complication,17,Karimganj Upazilla Health Complex,27,10.8,8.3,0.95,
10,snakebite,127,Parkview Medical College,4,3.1,2.2,0.94,
11,injury_drowning,10,Habiganj General Hospital,30,23.0,16.9,0.93,
12,minor_illness,74,koitok hospital,20,11.0,11.7,1.0,
13,childbirth_complication,18,Katiyadi Upazilla Health Complex,11,6.4,5.0,1.0,
14,snakebite,9,Sunamganj General Hospital,84,112.9,74.2,0.36,
15,injury_drowning,37,Madan Upazilla Health Complex,16,7.7,7.1,1.0,
16,minor_illness,15,Upazila Fenchugonj Health Complex,13,7.0,3.1,0.99,
17,childbirth_complication,24,Kalmakanda Upazila Health Complex,8,5.5,2.6,0.98,
18,snakebite,32,Kamalganj Upazila Health Complex,35,19.3,11.7,0.98,
19,injury_drowning,38,Sarail Upazila Health Complex,23,14.4,6.9,0.95,
20,minor_illness,44,Atpara Upazila Health Complex,14,8.8,4.7,0.57,
21,childbirth_complication,38,Sarail Upazila Health Complex,8,4.8,2.7,0.32,
22,snakebite,18,Katiyadi Upazilla Health Complex,6,3.9,3.0,1.0,
23,injury_drowning,18,Katiyadi Upazilla Health Complex,13,7.6,7.4,1.0,
24,minor_illness,24,Kalmakanda Upazila Health Complex,12,7.8,3.6,0.99,
25,childbirth_complication,36,Madhabpur Upazila Health Complex,18,9.0,10.8,1.0,
26,snakebite,5,Jalalabad Ragib-Rabeya Medical College and Hospital,43,25.3,26.5,1.0,
27,injury_drowning,35,Sreemangal Upazila Health Complex,7,5.8,3.7,0.22,
28,minor_illness,24,Kalmakanda Upazila Health Complex,41,33.8,20.4,0.51,
29,childbirth_complication,11,Moulvibaza Sadar Hospital,6,4.4,3.6,0.97,
30,snakebite,10,Habiganj General Hospital,28,23.0,17.5,0.98,
31,injury_drowning,47,OSM 6574122409 (bangla name),52,35.9,17.5,0.67,
32,minor_illness,35,Sreemangal Upazila Health Complex,46,27.3,14.2,0.99,
33,childbirth_complication,29,Mohanganj Upazila Health Complex,39,27.6,19.0,0.96,
34,snakebite,48,Belabo Upazila Health Complex,42,26.5,23.5,0.24,
35,injury_drowning,18,Katiyadi Upazilla Health Complex,19,12.6,8.3,1.0,
36,minor_illness,18,Katiyadi Upazilla Health Complex,11,8.5,6.5,0.95,
37,childbirth_complication,21,Pakundia Upazilla Health Complex,24,13.9,12.1,0.99,
38,snakebite,33,Rajanagar Upazila Health Complex,36,10.5,5.5,0.85,
39,injury_drowning,29,Mohanganj Upazila Health Complex,36,16.0,10.4,0.52,
40,minor_illness,58,Uzangao community clinic,208,25.5,10.5,0.0,
