id,emergency,lon,lat,target_minutes,dry_primary_facility_cat,dry_primary_facility_name,dry_primary_minutes,dry_primary_mode,dry_primary_within_target,dry_backup_facility_cat,dry_backup_facility_name,dry_backup_minutes,dry_backup_mode,dry_backup_within_target,flood0708_primary_facility_cat,flood0708_primary_facility_name,flood0708_primary_minutes,flood0708_primary_mode,flood0708_primary_within_target,flood0708_backup_facility_cat,flood0708_backup_facility_name,flood0708_backup_minutes,flood0708_backup_mode,flood0708_backup_within_target,warnings
1,childbirth_complication,90.74345,24.05944,120,48,Belabo Upazila Health Complex,37,"WALKING, MOTORIZED",True,18,Katiyadi Upazilla Health Complex,55,"WALKING, MOTORIZED",True,48,Belabo Upazila Health Complex,37,"WALKING, MOTORIZED",True,18,Katiyadi Upazilla Health Complex,55,"WALKING, MOTORIZED",True,
2,snakebite,90.62783,24.19851,120,21,Pakundia Upazilla Health Complex,54,"WALKING, MOTORIZED",True,18,Katiyadi Upazilla Health Complex,56,"WALKING, MOTORIZED",True,21,Pakundia Upazilla Health Complex,54,"WALKING, MOTORIZED",True,18,Katiyadi Upazilla Health Complex,56,"WALKING, MOTORIZED",True,
3,injury_drowning,91.43352,24.79313,120,27,Jagannathpur Upazila Health Complex,59,"WALKING, MOTORIZED",True,9,Sunamganj General Hospital,100,"WALKING, MOTORIZED",True,27,Jagannathpur Upazila Health Complex,59,"WALKING, MOTORIZED",True,9,Sunamganj General Hospital,105,"WALKING, MOTORIZED",True,the backup facility is much slower than the first choice
4,minor_illness,91.86213,24.43128,60,90,Matri Mangal Hospital,30,MOTORIZED,True,94,Life Line Hospital,32,MOTORIZED,True,90,Matri Mangal Hospital,46,"WALKING, MOTORIZED",True,94,Life Line Hospital,47,"WALKING, MOTORIZED",True,the flood adds 16 minutes
5,childbirth_complication,90.81945,24.44602,120,7,OSM 13846497403 (bangla name),14,"WALKING, MOTORIZED",True,8,OSM 8311261 (bangla name),17,"WALKING, MOTORIZED",True,7,OSM 13846497403 (bangla name),14,"WALKING, MOTORIZED",True,8,OSM 8311261 (bangla name),17,"WALKING, MOTORIZED",True,
6,snakebite,91.67304,24.21482,120,35,Sreemangal Upazila Health Complex,60,"WALKING, MOTORIZED",True,11,Moulvibaza Sadar Hospital,90,"WALKING, MOTORIZED",True,35,Sreemangal Upazila Health Complex,83,"WALKING, MOTORIZED, boat/wading",True,11,Moulvibaza Sadar Hospital,121,"WALKING, MOTORIZED, boat/wading",False,the flood adds 23 minutes; the backup facility is much slower than the first choice; the flood-season path crosses flooded ground
7,injury_drowning,90.80774,24.32488,120,18,Katiyadi Upazilla Health Complex,24,MOTORIZED,True,20,Nikli Upazilla Health Complex,33,MOTORIZED,True,18,Katiyadi Upazilla Health Complex,24,MOTORIZED,True,20,Nikli Upazilla Health Complex,33,MOTORIZED,True,
8,minor_illness,90.64753,24.62307,60,19,Nandail Upazilla Health Complex,30,"WALKING, MOTORIZED",True,39,Ishwarganj Upazila Health Complex,47,"WALKING, MOTORIZED",True,19,Nandail Upazilla Health Complex,30,"WALKING, MOTORIZED",True,39,Ishwarganj Upazila Health Complex,47,"WALKING, MOTORIZED",True,
9,childbirth_complication,90.93317,24.48734,120,17,Karimganj Upazilla Health Complex,27,"WALKING, MOTORIZED",True,7,OSM 13846497403 (bangla name),34,"WALKING, MOTORIZED",True,17,Karimganj Upazilla Health Complex,27,"WALKING, MOTORIZED",True,7,OSM 13846497403 (bangla name),34,"WALKING, MOTORIZED",True,
10,snakebite,91.86598,24.87921,120,127,Parkview Medical College,4,MOTORIZED,True,3,North East Medical College Hospital,5,"WALKING, MOTORIZED",True,127,Parkview Medical College,4,MOTORIZED,True,3,North East Medical College Hospital,5,"WALKING, MOTORIZED",True,
11,injury_drowning,91.39692,24.24918,120,10,Habiganj General Hospital,30,MOTORIZED,True,4,Habiganj Medical College,31,MOTORIZED,True,10,Habiganj General Hospital,30,MOTORIZED,True,4,Habiganj Medical College,31,MOTORIZED,True,
12,minor_illness,91.67336,24.93361,60,74,koitok hospital,20,"WALKING, MOTORIZED",True,78,Mount Adora Hospital,29,MOTORIZED,True,74,koitok hospital,23,"WALKING, MOTORIZED",True,78,Mount Adora Hospital,29,MOTORIZED,True,
13,childbirth_complication,90.84071,24.23959,120,18,Katiyadi Upazilla Health Complex,11,"WALKING, MOTORIZED",True,2,Johurul Islam Medical College and Hospital,23,"WALKING, MOTORIZED",True,18,Katiyadi Upazilla Health Complex,11,"WALKING, MOTORIZED",True,2,Johurul Islam Medical College and Hospital,23,"WALKING, MOTORIZED",True,
14,snakebite,91.37212,24.7988,120,9,Sunamganj General Hospital,84,"WALKING, MOTORIZED",True,27,Jagannathpur Upazila Health Complex,91,"WALKING, MOTORIZED",True,9,Sunamganj General Hospital,89,"WALKING, MOTORIZED",True,27,Jagannathpur Upazila Health Complex,91,"WALKING, MOTORIZED",True,
15,injury_drowning,90.8806,24.73848,120,37,Madan Upazilla Health Complex,16,"WALKING, MOTORIZED",True,44,Atpara Upazila Health Complex,22,"WALKING, MOTORIZED",True,37,Madan Upazilla Health Complex,16,"WALKING, MOTORIZED",True,44,Atpara Upazila Health Complex,22,"WALKING, MOTORIZED",True,
16,minor_illness,91.92012,24.68546,60,15,Upazila Fenchugonj Health Complex,13,"WALKING, MOTORIZED",True,33,Rajanagar Upazila Health Complex,40,"WALKING, MOTORIZED",True,15,Upazila Fenchugonj Health Complex,13,"WALKING, MOTORIZED",True,91,OSM 6062653342 (bangla name),51,"WALKING, MOTORIZED",True,the backup facility is much slower than the first choice
17,childbirth_complication,90.90056,25.07819,120,24,Kalmakanda Upazila Health Complex,8,"WALKING, MOTORIZED",True,23,Durgapur Upazila Health Complex,66,"WALKING, MOTORIZED",True,24,Kalmakanda Upazila Health Complex,8,"WALKING, MOTORIZED",True,23,Durgapur Upazila Health Complex,66,"WALKING, MOTORIZED",True,the backup facility is much slower than the first choice
18,snakebite,91.83301,24.27302,120,32,Kamalganj Upazila Health Complex,35,"WALKING, MOTORIZED",True,35,Sreemangal Upazila Health Complex,38,MOTORIZED,True,35,Sreemangal Upazila Health Complex,38,MOTORIZED,True,32,Kamalganj Upazila Health Complex,38,"WALKING, MOTORIZED",True,the nearest qualifying facility changes in the flood
