adm3_pcode,adm3_name,adm2_name,census_2022,worldpop_2020,ratio
BD60910008,Balaganj,Sylhet,389331.0,110739.711,0.284
BD60910062,Sylhet Sadar,Sylhet,1313758.0,671317.438,0.511
BD60360044,Habiganj Sadar,Habiganj,381143.0,227329.891,0.596
BD60900032,Dharmapasha,Sunamganj,264172.0,171304.891,0.648
BD60900033,Dowarabazar,Sunamganj,283998.0,216219.0,0.761
BD60910041,Gowainghat,Sylhet,392829.0,312764.844,0.796
BD60910031,Dakkhin Surma,Sylhet,401695.0,330258.5,0.822
BD60900092,Tahirpur,Sunamganj,293773.0,248193.297,0.845
BD60910027,Companiganj,Sylhet,264962.0,225655.422,0.852
BD60580056,Kamalganj,Moulvibazar,281177.0,245651.297,0.874
BD60580065,Kulaura,Moulvibazar,452153.0,400338.094,0.885
BD45720083,Purbadhala,Netrakona,330717.0,299886.812,0.907
BD20120013,Brahmanbaria Sadar,Brahmanbaria,632439.0,590753.125,0.934
BD60900050,Jamalganj,Sunamganj,194986.0,183964.344,0.943
BD45720040,Kalmakanda,Netrakona,304287.0,288852.25,0.949
BD60360011,Baniachong,Habiganj,399926.0,382637.375,0.957
BD30480011,Bhairab,Kishoreganj,348881.0,334249.938,0.958
BD20120033,Ashuganj,Brahmanbaria,217509.0,209866.5,0.965
BD60910020,Bishwanath,Sylhet,276671.0,267151.75,0.966
BD45610031,Ishwarganj,Mymensingh,402245.0,389355.5,0.968
BD60360068,Lakhai,Habiganj,178256.0,173026.312,0.971
BD45720047,Kendua,Netrakona,309468.0,301918.938,0.976
BD30480033,Itna,Kishoreganj,170622.0,166610.672,0.976
BD60360077,Nabiganj,Habiganj,402086.0,394055.125,0.98
BD30480049,Kishoreganj Sadar,Kishoreganj,476400.0,468371.781,0.983
BD60900018,Bishwambharpur,Sunamganj,188244.0,185198.953,0.984
BD60900029,Derai,Sunamganj,283624.0,280560.344,0.989
BD45720018,Durgapur,Netrakona,245325.0,243137.906,0.991
BD45720009,Barhatta,Netrakona,198270.0,196697.016,0.992
BD60900047,Jagannathpur,Sunamganj,288115.0,286588.5,0.995
BD30680064,Raipura,Narsingdi,610367.0,610566.75,1.0
BD30480045,Katiadi,Kishoreganj,336508.0,336878.594,1.001
BD30480076,Nikli,Kishoreganj,142964.0,143737.266,1.005
BD60900086,Shalla,Sunamganj,122748.0,123626.266,1.007
BD30480006,Bajitpur,Kishoreganj,284301.0,287469.562,1.011
BD45610016,Dhobaura,Mymensingh,215470.0,220416.188,1.023
BD30680076,Shibpur,Narsingdi,335303.0,343021.594,1.023
BD30480002,Austagram,Kishoreganj,152402.0,156003.734,1.024
BD60360005,Bahubal,Habiganj,226612.0,233411.031,1.03
BD45720004,Atpara,Netrakona,151226.0,156165.219,1.033
BD60900023,Chhatak,Sunamganj,457201.0,473238.469,1.035
BD20120090,Nasirnagar,Brahmanbaria,361973.0,374932.344,1.036
BD45720038,Khaliajuri,Netrakona,111536.0,115898.625,1.039
BD30680007,Belabo,Narsingdi,212463.0,223252.438,1.051
BD30480092,Tarail,Kishoreganj,158196.0,166559.5,1.053
BD30480042,Karimganj,Kishoreganj,307979.0,324756.031,1.054
BD60580080,Rajnagar,Moulvibazar,271288.0,288396.188,1.063
BD45720074,Netrakona Sadar,Netrakona,405375.0,432928.438,1.068
BD30680052,Manohardi,Narsingdi,297524.0,318036.188,1.069
BD45610072,Nandail,Mymensingh,418727.0,450315.719,1.075
BD30480027,Hossainpur,Kishoreganj,200880.0,216585.281,1.078
BD60360071,Madhabpur,Habiganj,360537.0,389547.562,1.08
BD60580074,Moulvibazar Sadar,Moulvibazar,403956.0,437629.531,1.083
BD60360026,Chunarughat,Habiganj,328747.0,356707.5,1.085
BD30680063,Palash,Narsingdi,229750.0,250026.016,1.088
BD30480054,Kuliarchar,Kishoreganj,204663.0,223932.922,1.094
BD45720056,Madan,Netrakona,160842.0,177170.781,1.102
BD30480059,Mithamain,Kishoreganj,115555.0,128358.344,1.111
BD20120094,Sarail,Brahmanbaria,353636.0,394458.188,1.115
BD45610022,Gafargaon,Mymensingh,427578.0,480443.844,1.124
BD30480079,Pakundia,Kishoreganj,251520.0,284905.5,1.133
BD60910038,Golapganj,Sylhet,366617.0,415301.688,1.133
BD60360002,Ajmiriganj,Habiganj,126736.0,147462.875,1.164
BD45720063,Mohanganj,Netrakona,188406.0,220024.25,1.168
BD60900089,Sunamganj Sadar,Sunamganj,342502.0,400089.781,1.168
BD60580083,Sreemangal,Moulvibazar,350075.0,414868.219,1.185
BD45610023,Gouripur,Mymensingh,355188.0,427450.562,1.203
BD60910053,Jaintapur,Sylhet,211067.0,264574.125,1.254
BD30330036,Kapasia,Gazipur,347907.0,551201.25,1.584
BD60910035,Fenchuganj,Sylhet,110545.0,187373.5,1.695
